"[116.300626, 40.023324, 5488]","[116.300626, 40.023324, 6206]","[116.300626, 40.023324, 6532]","[116.300626, 40.023324, 6233]","[116.300626, 40.023324, 6732]"
"[116.300626, 40.033324, 5269]","[116.300626, 40.033324, 5892]","[116.300626, 40.033324, 6170]","[116.300626, 40.033324, 6917]","[116.300626, 40.033324, 7439]"
"[116.300626, 40.043324, 6702]","[116.300626, 40.043324, 6750]","[116.300626, 40.043324, 6959]","[116.300626, 40.043324, 8150]","[116.300626, 40.043324, 7571]"
"[116.300626, 40.053324, 5341]","[116.300626, 40.053324, 4975]","[116.300626, 40.053324, 5628]","[116.300626, 40.053324, 5443]","[116.300626, 40.053324, 8273]"
"[116.310626, 39.863324, 4177]","[116.310626, 39.863324, 4318]","[116.310626, 39.863324, 4395]","[116.310626, 39.863324, 5851]","[116.310626, 39.863324, 6310]"
"[116.310626, 39.873324, 4152]","[116.310626, 39.873324, 4876]","[116.310626, 39.873324, 4533]","[116.310626, 39.873324, 5138]","[116.310626, 39.873324, 5775]"
"[116.310626, 39.883324, 4042]","[116.310626, 39.883324, 4075]","[116.310626, 39.883324, 4293]","[116.310626, 39.883324, 4919]","[116.310626, 39.883324, 5676]"
"[116.310626, 39.893324, 4580]","[116.310626, 39.893324, 5032]","[116.310626, 39.893324, 4802]","[116.310626, 39.893324, 5493]","[116.310626, 39.893324, 4831]"
"[116.310626, 39.903324, 3983]","[116.310626, 39.903324, 4045]","[116.310626, 39.903324, 4362]","[116.310626, 39.903324, 6280]","[116.310626, 39.903324, 6630]"
"[116.310626, 39.913324, 3735]","[116.310626, 39.913324, 4459]","[116.310626, 39.913324, 4340]","[116.310626, 39.913324, 5652]","[116.310626, 39.913324, 5809]"
"[116.310626, 39.923324, 4390]","[116.310626, 39.923324, 4420]","[116.310626, 39.923324, 4562]","[116.310626, 39.923324, 5724]","[116.310626, 39.923324, 5963]"
